Logos app-icon.png b27d6cc1b7a67423b039ce1c9aedf76b 9517 image/png
Icons eq-peaking.svg 858618aee24ec80fe1b8b837038a4a3b 246 image/svg+xml
Icons eq-lowpass.svg 6d978f8b19907d1ad16edf1524c984fe 221 image/svg+xml
Icons eq-highpass.svg 9017b46f4dae11ddef289892568aa181 219 image/svg+xml
Icons eq-bandpass.svg 17dd52d2fdbf0e99758c65e4ef46c8c5 237 image/svg+xml
Icons eq-lowshelf.svg ff8f362f6116acdc99cdbc606aa5785e 221 image/svg+xml
Icons eq-highshelf.svg 5124faed251e68ddb1b70f702324ffb4 221 image/svg+xml
Icons eq-notch.svg 55db4d390e239a2c9d62192f08cc3f55 245 image/svg+xml
Icons eq-allpass.svg 70de05d653dad15095813ea16c647108 220 image/svg+xml
Icons multi-convolution.svg 86f86371d5b5a2747a015dfc9d01676b 294 image/svg+xml
Icons channel-select.svg 08a4c8b561d4b223e6554d1fbd97f382 294 image/svg+xml
Icons comment-bubble.svg 189ab37ed96d2f5b0403699ddba36a8b 304 image/svg+xml
Icons delay-clock.svg 1f8f6e8982e46b090e454a3a1d2dade6 239 image/svg+xml
Icons device-speaker.svg 1e93c0b633f173bfc385bb81b221786b 312 image/svg+xml
Icons graphic-eq.svg 6a23dab60aacee174e1996391aba4bcc 355 image/svg+xml
Icons loudness.svg 3ee246e61dc7e731c047eef2b74bf44a 330 image/svg+xml
Icons subwoofer-routing.svg ac3cbf38fed12806566ea9d58a43b818 545 image/svg+xml
Icons preamp-gain.svg a1b9f2afbc73a9200b7ddf99b3e769a8 204 image/svg+xml
Icons stage-chain.svg 8ac9b3feaf3d354a20657c600a74ab0d 363 image/svg+xml
Icons route-channels.svg b5182e35d8c4a2cd636e3f68a35bc2af 356 image/svg+xml
Icons plugin.svg 4d63dce76fe276e550e35ccdd0e40093 354 image/svg+xml
Icons file-include.svg 3bcd3d7890b8ea2cea2aa908208e90ad 375 image/svg+xml
Icons logic-if.svg 381b098773cf279676d9ca433d302608 391 image/svg+xml
Icons logic-eval.svg b4e6e4debbbb717c58a04aafe58f18d1 334 image/svg+xml
Icons waveform.svg b2c01387f1e7c2b274eb679c27de297f 440 image/svg+xml
Icons import.svg 57b38b032697695fe8f26159d3fed118 318 image/svg+xml
Icons code-line.svg 70bd5b7c20d6f49821f5419c0e71621e 287 image/svg+xml
Icons pencil.svg 62cc0d5cccc510e2874c5a6b662a56dc 300 image/svg+xml
Icons alert-triangle.svg 905fb95f939b7023660fcccbae653c33 347 image/svg+xml
Icons folder-open.svg 034fbf1a9824c8170a7c42a18a618f96 388 image/svg+xml
Icons file-new.svg 97f2b288187bf91d6cc69b06185fcb86 370 image/svg+xml
Icons save.svg 73b9111aa0074a5c8b2aec969a77ef36 376 image/svg+xml
Icons check-dark.svg 52745614da297b513b7744868fa34b1c 228 image/svg+xml
Icons check-light.svg aad7098a2671d5b30e86d577f391f548 228 image/svg+xml
Icons chevron-down.svg d8ecd6a6b7738ef0198b3540ea0356f6 205 image/svg+xml
Icons chevron-right.svg 270f3b201c8115f8b560900c27b9529d 205 image/svg+xml
Icons chevron-up.svg 699d019e3d7f46a563e2c8514f5d9bf6 205 image/svg+xml
Icons copy.svg 19861eccd7d21b51f134a0e484d934b4 338 image/svg+xml
Icons cut.svg 2e4aa6ad735e024c4bafa3ecc4c4d4dc 327 image/svg+xml
Icons dash-dark.svg 06edd2e8958bf237eb5592b7e8992718 187 image/svg+xml
Icons dash-light.svg 02688206bbe272d5ac9826d33132998d 187 image/svg+xml
Icons folder-new.svg 8c8885812e069c3549905600be92dfcc 353 image/svg+xml
Icons folder-up.svg 468907fa624925a9e452ecab16a408c0 366 image/svg+xml
Icons matrix-grid-dark.svg 92db0f791527f2f61ef5cc794f1faf61 197 image/svg+xml
Icons matrix-grid-light.svg bf1fa108af6badb1ef0f95f8ab5e7add 197 image/svg+xml
Icons nav-back.svg 6204b609e2309979069fb604d5f0dd48 205 image/svg+xml
Icons nav-forward.svg 2fad85b230fb145cdacb5caa1ba67ba4 206 image/svg+xml
Icons paste.svg a7631bdee3ac55c6797f4449b036e0c1 406 image/svg+xml
Icons redo.svg 62c25790c4e9f4e8993b0fb22f168ec4 253 image/svg+xml
Icons save-as.svg 05ce24c8f70891d18876344aa5467e9f 421 image/svg+xml
Icons select-all.svg 2bbb61a9acfa4bb05384d840324e5ba7 556 image/svg+xml
Icons soft-toggle-knob-off.svg 03622ca8db8a648f3e71a8bbdbf1f524 159 image/svg+xml
Icons soft-toggle-knob-on.svg 83f10a1b5a37f5a4e7a3fba56359841b 159 image/svg+xml
Icons trash.svg c1c4c96083679f981f856d39bf56bbf8 427 image/svg+xml
Icons undo.svg 539caa099ee5fe82555ee929dc843485 257 image/svg+xml
Icons view-detail.svg e6f7568f5beb6ee90837efec3f1b98f0 324 image/svg+xml
Icons view-list.svg eed6f7c32c235222ff8330b3b08ca799 363 image/svg+xml
Icons window-close.svg c923f9bdabea7e571074d9d8d3765ca4 224 image/svg+xml
Icons window-max.svg 7ac3fe6e4f613543fc30d9b4ecaf1fd9 226 image/svg+xml
Icons window-min.svg cb8c31288c462b0a6af8133fe841de62 191 image/svg+xml
Icons window-restore.svg 0d14286bd9245fa498c8f1397f3bac3a 327 image/svg+xml
